Date,Price,Open,High,Low,Vol.,Change %
07/27/2018,60,60,60,60,,0.00%
07/26/2018,60,58.5,60,58.5,,1.69%
07/25/2018,59,59,59,59,,0.85%
07/24/2018,58.5,58.5,58.5,58.5,,0.86%
07/23/2018,58,58,58,58,,0.00%
07/20/2018,58,58.5,58.5,58,,-1.69%
07/19/2018,59,59,59,59,,0.00%
07/18/2018,59,58.5,59,58.5,0.05K,1.72%
07/17/2018,58,58,58,58,0.00K,0.00%
07/16/2018,58,58,58,58,,0.00%
07/13/2018,58,58,58,58,,0.00%
07/12/2018,58,58,58,58,,0.00%
07/11/2018,58,58,58,58,,-0.85%
07/10/2018,58.5,57.5,58.5,57.5,0.10K,1.74%
07/09/2018,57.5,57.5,58,57.5,0.33K,0.00%
07/06/2018,57.5,57,57.5,57,,0.88%
07/05/2018,57,57,57,57,0.30K,1.79%
07/04/2018,56,56,56,56,,0.00%
07/03/2018,56,56,56,56,,-0.88%
07/02/2018,56.5,56.5,56.5,56,0.16K,0.00%
06/29/2018,56.5,56.5,56.5,56.5,0.20K,0.89%
06/28/2018,56,57,57,56,,0.00%
06/27/2018,56,56,56,56,,-0.88%
06/26/2018,56.5,56.5,56.5,56.5,,0.89%
06/25/2018,56,56,56,56,,-3.45%
06/22/2018,58,57,58,57,,-0.85%
06/21/2018,58.5,58.5,58.5,58.5,,0.86%
06/20/2018,58,58,58,58,,-0.85%
06/19/2018,58.5,58.5,58.5,58.5,,-0.85%
06/18/2018,59,59.5,59.5,59,,-0.84%
06/15/2018,59.5,60,60,59.5,,-0.83%
06/14/2018,60,59,60,59,0.04K,3.45%
06/13/2018,58,58,58,58,,0.00%
06/12/2018,58,58,58,58,,0.87%
06/11/2018,57.5,56.5,57.5,56.5,,2.68%
06/08/2018,56,56,56,56,,-0.88%
06/07/2018,56.5,56.5,56.5,56.5,,0.00%
06/06/2018,56.5,56.5,56.5,56.5,,-0.88%
06/05/2018,57,56.5,57,56.5,0.10K,0.88%
06/04/2018,56.5,56.5,56.5,56.5,,0.89%
06/01/2018,56,56,56,56,,-0.88%
05/31/2018,56.5,56.5,56.5,56.5,,0.89%
05/30/2018,56,56.5,56.5,56,,-0.88%
